"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01","Agricultural output price index","Base 2015=100","106.8444006"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","011","Crop output","Base 2015=100","99.9616465"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0111","Cereals including seeds","Base 2015=100","105.8233822"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01121","Fruit and Vegetables","Base 2015=100","99.44531496"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0113","Potatoes including seeds","Base 2015=100","87.47887537"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","012","Animal output","Base 2015=100","107.7465165"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0121","Animals","Base 2015=100","94.53920447"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01211","Cattle","Base 2015=100","90.37432988"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","012111","Cattle excluding calves","Base 2015=100","90.45367719"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","012112","Calves","Base 2015=100","76.31086563"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01212","Pigs","Base 2015=100","109.4069488"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01213","Sheep","Base 2015=100","98.82615586"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01214","Poultry","Base 2015=100","101.2012996"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0122","Animal products","Base 2015=100","127.6669708"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01221","Milk","Base 2015=100","128.6178626"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","01222","Eggs","Base 2015=100","101.840839"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","012231","Wool","Base 2015=100","81.47638465"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02","Agricultural input price index","Base 2015=100","103.5998506"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","021","Seeds","Base 2015=100","104.2423937"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","022","Energy","Base 2015=100","112.7354623"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0221","Electricity","Base 2015=100","100.1964641"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0222","Motor fuel","Base 2015=100","117.3820425"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0223","Lubricants","Base 2015=100","99.27064658"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","023","Fertilisers","Base 2015=100","99.3495614"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0231","Straight fertilisers","Base 2015=100","99.46844037"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0232","Compound fertilisers","Base 2015=100","99.44987878"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02321","PK fertilisers","Base 2015=100","100.7420767"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02322","NPK fertilisers","Base 2015=100","99.41765514"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0233","Other fertilisers","Base 2015=100","96.66666667"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","024","Plant protection products","Base 2015=100","100.0404465"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","025","Veterinary expenses","Base 2015=100","99.15447577"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","026","Feeding stuffs","Base 2015=100","107.7456787"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0261","Straight feeding stuffs","Base 2015=100","107.7096819"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","0262","Compound feeding stuffs","Base 2015=100","107.7475202"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02621","Compound feeding stuffs for calves","Base 2015=100","104.3659956"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","105.7646114"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02623","Compound feeding stuffs for pigs","Base 2015=100","108.7544301"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02624","Compound feeding stuffs for poultry","Base 2015=100","113.8260952"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","02625","Other compound feeding stuffs","Base 2015=100","105.6139806"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","030","Maintenance of materials and buildings","Base 2015=100","100.1904774"
"AHA04","Agricultural Input and Output Price Indices","2014","2014","029","Other goods and services","Base 2015=100","95.54719131"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01","Agricultural output price index","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","011","Crop output","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0111","Cereals including seeds","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01121","Fruit and Vegetables","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0113","Potatoes including seeds","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","012","Animal output","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0121","Animals","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01211","Cattle","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","012111","Cattle excluding calves","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","012112","Calves","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01212","Pigs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01213","Sheep","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01214","Poultry","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0122","Animal products","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01221","Milk","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","01222","Eggs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","012231","Wool","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02","Agricultural input price index","Base 2015=100","100.0000016"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","021","Seeds","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","022","Energy","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0221","Electricity","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0222","Motor fuel","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0223","Lubricants","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","023","Fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0231","Straight fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0232","Compound fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02321","PK fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02322","NPK fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0233","Other fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","024","Plant protection products","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","025","Veterinary expenses","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","026","Feeding stuffs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0261","Straight feeding stuffs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","0262","Compound feeding stuffs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02621","Compound feeding stuffs for calves","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02623","Compound feeding stuffs for pigs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02624","Compound feeding stuffs for poultry","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","02625","Other compound feeding stuffs","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","030","Maintenance of materials and buildings","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2015","2015","029","Other goods and services","Base 2015=100","100.0000122"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01","Agricultural output price index","Base 2015=100","95.11946918"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","011","Crop output","Base 2015=100","106.0809705"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0111","Cereals including seeds","Base 2015=100","101.3480893"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01121","Fruit and Vegetables","Base 2015=100","101.4578352"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0113","Potatoes including seeds","Base 2015=100","128.5017046"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","012","Animal output","Base 2015=100","93.68275601"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0121","Animals","Base 2015=100","95.37389103"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01211","Cattle","Base 2015=100","93.01714367"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","012111","Cattle excluding calves","Base 2015=100","93.0314363"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","012112","Calves","Base 2015=100","90.48392739"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01212","Pigs","Base 2015=100","102.5957948"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01213","Sheep","Base 2015=100","99.92017563"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01214","Poultry","Base 2015=100","99.47921582"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0122","Animal products","Base 2015=100","91.13203424"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01221","Milk","Base 2015=100","91.04529184"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","01222","Eggs","Base 2015=100","97.56365905"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","012231","Wool","Base 2015=100","69.67103344"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02","Agricultural input price index","Base 2015=100","97.8502637"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","021","Seeds","Base 2015=100","98.46386789"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","022","Energy","Base 2015=100","91.94376687"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0221","Electricity","Base 2015=100","96.47369919"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0222","Motor fuel","Base 2015=100","90.07773413"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0223","Lubricants","Base 2015=100","100.756034"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","023","Fertilisers","Base 2015=100","86.18602205"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0231","Straight fertilisers","Base 2015=100","82.25860753"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0232","Compound fertilisers","Base 2015=100","87.61565711"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02321","PK fertilisers","Base 2015=100","94.6726725"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02322","NPK fertilisers","Base 2015=100","87.43967577"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0233","Other fertilisers","Base 2015=100","100"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","024","Plant protection products","Base 2015=100","102.2788896"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","025","Veterinary expenses","Base 2015=100","101.9406578"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","026","Feeding stuffs","Base 2015=100","100.0062086"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0261","Straight feeding stuffs","Base 2015=100","97.11556294"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","0262","Compound feeding stuffs","Base 2015=100","100.1540888"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02621","Compound feeding stuffs for calves","Base 2015=100","101.5892072"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","100.1503041"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02623","Compound feeding stuffs for pigs","Base 2015=100","97.32857"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02624","Compound feeding stuffs for poultry","Base 2015=100","102.2853604"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","02625","Other compound feeding stuffs","Base 2015=100","101.6450192"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","030","Maintenance of materials and buildings","Base 2015=100","100.6849157"
"AHA04","Agricultural Input and Output Price Indices","2016","2016","029","Other goods and services","Base 2015=100","104.3782272"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01","Agricultural output price index","Base 2015=100","106.4579255"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","011","Crop output","Base 2015=100","104.127643"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0111","Cereals including seeds","Base 2015=100","101.8624475"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01121","Fruit and Vegetables","Base 2015=100","100.9395353"
