Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","2906.599","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1950","1950","1000 persons","1478.504","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1950","1950","1000 persons","1428.096","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1950","1950","1000 persons","1745.289","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1950","1950","1000 persons","1167.804","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","2924.705","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1951","1951","1000 persons","1487.021","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1951","1951","1000 persons","1437.685","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1951","1951","1000 persons","1733.015","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1951","1951","1000 persons","1188.094","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","2929.379","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1952","1952","1000 persons","1488.122","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1952","1952","1000 persons","1441.256","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1952","1952","1000 persons","1712.709","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1952","1952","1000 persons","1211.345","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","2917.037","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1953","1953","1000 persons","1480.13","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1953","1953","1000 persons","1436.907","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1953","1953","1000 persons","1689.04","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1953","1953","1000 persons","1232.315","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","2902.78","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1954","1954","1000 persons","1471.197","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1954","1954","1000 persons","1431.583","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1954","1954","1000 persons","1662.071","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1954","1954","1000 persons","1250.974","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","2886.368","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1955","1955","1000 persons","1460.972","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1955","1955","1000 persons","1425.397","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1955","1955","1000 persons","1632.344","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1955","1955","1000 persons","1267.44","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","2869.649","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1956","1956","1000 persons","1450.716","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1956","1956","1000 persons","1418.933","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1956","1956","1000 persons","1604.365","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1956","1956","1000 persons","1278.481","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","2854.323","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1957","1957","1000 persons","1441.191","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1957","1957","1000 persons","1413.131","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1957","1957","1000 persons","1587.983","X","Figure from international organizations",""
