Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","87.55157","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","87.84276","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","88.03688","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","88.13395","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","89.39577","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","89.8811","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","90.56055","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","91.04586","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","90.9488","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","90.9488","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","91.14293","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","91.72531","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","372","Ireland","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","91.82237","X","Figure from international organizations","base year is 2015"
