Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1961","1961","ha","146373","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1962","1962","ha","164219","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1963","1963","ha","173608","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1964","1964","ha","183644","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1965","1965","ha","187790","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1966","1966","ha","186760","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1967","1967","ha","182590","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1968","1968","ha","183320","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1969","1969","ha","198374","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1970","1970","ha","214278","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1971","1971","ha","235200","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1972","1972","ha","251636","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1973","1973","ha","242814","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1974","1974","ha","246254","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1975","1975","ha","245122","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1976","1976","ha","258799","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1977","1977","ha","289200","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1978","1978","ha","307200","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1979","1979","ha","323670","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1980","1980","ha","366300","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1981","1981","ha","356600","A","Official figure"
"QCL","Crops and livestock products","372","Ireland","5312","Area harvested","0115","Barley","1982","1982","ha","332400","A","Official figure"
