Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1961","1961","tonnes","4544","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1962","1962","tonnes","3182","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1963","1963","tonnes","4845","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1964","1964","tonnes","433","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1965","1965","tonnes","80132","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1966","1966","tonnes","8285","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1967","1967","tonnes","6552","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1968","1968","tonnes","51442","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1969","1969","tonnes","54037","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1970","1970","tonnes","73224","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1971","1971","tonnes","181825","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1972","1972","tonnes","48814","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1973","1973","tonnes","41878","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1974","1974","tonnes","146073","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1975","1975","tonnes","54692","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1976","1976","tonnes","58106","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1977","1977","tonnes","115605","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1978","1978","tonnes","12846","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1979","1979","tonnes","14083","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1980","1980","tonnes","10509","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1981","1981","tonnes","53173","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1982","1982","tonnes","3956","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1983","1983","tonnes","67758","A","Official figure"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","0115","Barley","1984","1984","tonnes","54031","A","Official figure"
