Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1961","1961","1000 $","4433","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1962","1962","1000 $","4801","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1963","1963","1000 $","4706","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1964","1964","1000 $","4704","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1965","1965","1000 $","3901","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1966","1966","1000 $","3940","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1967","1967","1000 $","3990","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1968","1968","1000 $","3081","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1969","1969","1000 $","2769","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1970","1970","1000 $","3059","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1971","1971","1000 $","3761","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1972","1972","1000 $","3643","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1973","1973","1000 $","5508","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1974","1974","1000 $","7997","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1975","1975","1000 $","7914","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1976","1976","1000 $","8132","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1977","1977","1000 $","10668","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1978","1978","1000 $","12685","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1979","1979","1000 $","16095","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1980","1980","1000 $","23302","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1981","1981","1000 $","12878","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1982","1982","1000 $","14188","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1983","1983","1000 $","10991","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1984","1984","1000 $","10452","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1985","1985","1000 $","9611","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1986","1986","1000 $","16900","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1987","1987","1000 $","22878","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1988","1988","1000 $","16602","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1989","1989","1000 $","23353","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1990","1990","1000 $","27386","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1991","1991","1000 $","15962","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1992","1992","1000 $","16513","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1993","1993","1000 $","12007","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1994","1994","1000 $","11137","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1995","1995","1000 $","12222","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1996","1996","1000 $","11570","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1997","1997","1000 $","11362","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1998","1998","1000 $","9221","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","1999","1999","1000 $","13599","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","2000","2000","1000 $","9762","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","2001","2001","1000 $","11364","E","Estimated value"
"TI","Trade Indices","372","Ireland","64","Import Value Base Period Quantity","0115","Barley","2002","2002","1000 $","6912","E","Estimated value"
