Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1991","1991","7021","Annual value","LCU","108","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1992","1992","7021","Annual value","LCU","102","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1993","1993","7021","Annual value","LCU","95","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1994","1994","7021","Annual value","LCU","87","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1995","1995","7021","Annual value","LCU","105","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1996","1996","7021","Annual value","LCU","91","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1997","1997","7021","Annual value","LCU","76","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1998","1998","7021","Annual value","LCU","75","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","1999","1999","7021","Annual value","LCU","82","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2000","2000","7021","Annual value","LCU","80","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2001","2001","7021","Annual value","LCU","82","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2002","2002","7021","Annual value","LCU","94","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2003","2003","7021","Annual value","LCU","109","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2004","2004","7021","Annual value","LCU","98","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2005","2005","7021","Annual value","LCU","99","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2006","2006","7021","Annual value","LCU","110","A","Official figure"
