DATAFLOW,LAST UPDATE,freq,n_head,agrarea,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1000_HEADS,ES,2013,78650,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1000_HEADS,IE,2013,2980,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_1000_HEADS,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_HOLD,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_1000_HEADS,ES,2013,57040,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_1000_HEADS,IE,2013,2520,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_HOLD,ES,2013,51440,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_HOLD,IE,2013,7050,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_HOLD,ES,2013,52450,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_HOLD,IE,2013,7600,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_LIVESTOCK_HOLD,ES,2013,190940,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_LIVESTOCK_HOLD,IE,2013,127830,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,HOLD_HOLD,ES,2013,938800,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,HOLD_HOLD,IE,2013,139120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1000_HEADS,ES,2013,630,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1000_HEADS,IE,2013,10,
